"BIOCODE","RB_BIOCODE","CIU_BIOCODE","INACTIVE","DNCDN","TAXONOMIC","TAXON","RANK","CATEGORY","PBC","PARENT_BC","ADD_DATE","END_DATE","RE_ADD_DATE","IWOE_DATE","COMMENTS","RANK_NOTES","UPDATED_TAXON","CHANGE_REASON","KEEP_REASON","GOM_FC","MIN_M_FC","MAX_M_FC","EXCLUDE","EXCLUDE_COMMENT"
"531070302",,"531070302","0",,"LEPIDOCKEMPII","LEPIDOCHELYS KEMPII","SPECIES","3","0","531070300","7/1/2021 0:00",,,,"fixed misspelling of earlier synonym",,"LEPIDOCHELYS KEMPII","2",,,,,,
"147070100",,"147070100","0",,"CHRIODORUS","CHRIODORUS","GENUS","1","1","147070000","10/29/2021 0:00",,,,,,,,,,,,,
"147070101",,"147070101","0",,"CHRIODOATHERI","CHRIODORUS ATHERINOIDES","SPECIES","1","1","147070100","10/29/2021 0:00",,,,,,,,,,,,,
"147070400",,"147070400","0",,"EULEPTORHAMPH","EULEPTORHAMPHUS","GENUS","1","1","147070000","10/29/2021 0:00",,,,,,,,,,,,,
"147070401",,"147070401","0",,"EULEPTOVELOX","EULEPTORHAMPHUS VELOX","SPECIES","1","1","147070400","10/29/2021 0:00",,,,,,,,,,,,,
"147070500",,"147070500","0",,"HEMIRAMPHUS","HEMIRAMPHUS","GENUS","1","1","147070000","10/29/2021 0:00",,,,,,,,,,,,,
"147070501",,"147070501","0",,"HEMIRAMBALAO","HEMIRAMPHUS BALAO","SPECIES","1","1","147070500","10/29/2021 0:00",,,,,,,,,,,,,
"147070502",,"147070502","0",,"HEMIRAMBRASIL","HEMIRAMPHUS BRASILIENSIS","SPECIES","1","1","147070500","10/29/2021 0:00",,,,,,,,,,,,,
"147070503",,"147070503","0",,"HEMIRAMBERMUD","HEMIRAMPHUS BERMUDENSIS","SPECIES","1","1","147070500","10/29/2021 0:00",,,,,,,,,,,,,
"147070800",,"147070800","0",,"OXYPORHAMPHUS","OXYPORHAMPHUS","GENUS","1","1","147070000","10/29/2021 0:00",,,,,,,,,,,,,
"147070801",,"147070801","0",,"OXYPORHMICROP","OXYPORHAMPHUS MICROPTERUS","SPECIES","1","1","147070800","10/29/2021 0:00",,,,,,,,,,,,,
"147071200",,"147071200","0",,"HYPORHAMPHUS","HYPORHAMPHUS","GENUS","1","1","147070000","10/29/2021 0:00",,,,,,,,,,,,,
"147071201",,"147071201","0",,"HYPORHAUNIFAS","HYPORHAMPHUS UNIFASCIATUS","SPECIES","1","1","147071200","10/29/2021 0:00",,,,,,,,,,,,,
"147071202",,"147071202","0",,"HYPORHAROBERT","HYPORHAMPHUS ROBERTI","SPECIES","1","1","147071200","10/29/2021 0:00",,,,,,,,,,,,,
"308190202",,"308190202","0",,"CONASPRBERMUD","CONASPRELLA BERMUDENSIS","SPECIES","3","1","308190200","3/8/2022 0:00",,,,,,,,,,,,,
"308190203",,"308190203","0",,"CONASPRCENTUR","CONASPRELLA CENTURIO","SPECIES","3","1","308190200","3/8/2022 0:00",,,,,,,,,,,,,
"308190204",,"308190204","0",,"CONASPRARMIGE","CONASPRELLA ARMIGER","SPECIES","3","1","308190200","3/8/2022 0:00",,,,,,,,,,,,,
"308190205",,"308190205","0",,"CONASPRJASPID","CONASPRELLA JASPIDEA","SPECIES","3","1","308190200","3/8/2022 0:00",,,,,,,,,,,,,
"308190206",,"308190206","0",,"CONASPRMAZEI","CONASPRELLA MAZEI","SPECIES","3","1","308190200","3/8/2022 0:00",,,,,,,,,,,,,
"308190207",,"308190207","0",,"CONASPRPUNCTI","CONASPRELLA PUNCTICULATA","SPECIES","3","1","308190200","3/8/2022 0:00",,,,,,,,,,,,,
"308190208",,"308190208","0",,"CONASPRSTEARN","CONASPRELLA STEARNSII","SPECIES","3","1","308190200","3/8/2022 0:00",,,,,,,,,,,,,
"308190209",,"308190209","0",,"CONASPRVERRUC","CONASPRELLA VERRUCOSA","SPECIES","3","1","308190200","3/8/2022 0:00",,,,,,,,,,,,,
"308190149",,"308190149","0",,"CONUS  ACHATI","CONUS ACHATINUS","SPECIES","3","1","308190100","3/8/2022 0:00",,,,"GCRL 2022 updates",,,,,,,,,
"308190150",,"308190150","0",,"CONUS  ERMINE","CONUS ERMINEUS","SPECIES","3","1","308190100","3/8/2022 0:00",,,,"GCRL 2022 updates",,,,,,,,,
"308190128","308190152","308190152","1",,"CONUS  REGABB","CONUS REGIUS-ABBOTTI","SUBSPECIES","3","1","308190100",,"3/8/2022 0:00",,,"OLD CODE ADDED BACK IN 03082022",,,,,,,,,
"308190152",,"308190152","0",,"CONUS  JUCUND","CONUS JUCUNDUS","SPECIES","3","1","308190100","3/8/2022 0:00",,,,"GCRL 2022 updates",,,,,,,,,
