"CRUISEID","YR","SOURCE","VESSEL","CRUISE_NO","STARTCRU","ENDCRU","TITLE","NOTE","INGEST_SOURCE","INGEST_PROGRAM_VER"
"1","1982","US","04","125","24/2/1982","31/3/1982","Spring Groundfish Survey","0",,
"2","1982","US","04","126","15/4/1982","25/5/1982","Spring SEAMAP Plankton Survey","0",,
"3","1982","FL","09","821","16/5/1982","16/5/1982","Spring SEAMAP Plankton Survey","0",,
"4","1982","LA","25","821","1/6/1982","13/7/1982","Spring SEAMAP Plankton Survey","0",,
"5","1982","US","04","127","1/6/1982","14/7/1982","Summer SEAMAP Groundfish Survey","0",,
"6","1982","MS","17","821","6/6/1982","10/6/1982","Summer SEAMAP Groundfish Survey","0",,
"7","1982","AL","23","821","8/6/1982","3/6/1982","Summer SEAMAP Groundfish Survey","0",,
"8","1982","FL","09","822","8/6/1982","13/6/1982","Spring SEAMAP Plankton Survey","0",,
"9","1982","US","20","823","16/6/1982","6/7/1982","Summer Groundfish Survey","0",,
"10","1982","FL","09","823","20/6/1982","22/6/1982","Spring SEAMAP Plankton Survey","0",,
"11","1982","TX","16","823","23/6/1982","26/6/1982","Summer SEAMAP Groundfish Survey","0",,
"12","1982","TX","16","824","30/6/1982","1/7/1982","Summer SEAMAP Groundfish Survey","0",,
"13","1982","TX","24","825","9/7/1982","13/7/1982","Summer SEAMAP Groundfish Survey","0",,
"14","1983","US","04","133","8/3/1983","13/4/1983","Spring Groundfish Survey","0",,
"15","1983","US","04","134","22/4/1983","23/5/1983","Spring SEAMAP Plankton Survey","0",,
"16","1983","US","04","135","1/6/1983","16/6/1983","Summer SEAMAP Groundfish Survey","0",,
"17","1983","MS","17","831","7/6/1983","14/6/1983","Summer SEAMAP Groundfish Survey","0",,
"18","1983","AL","23","831","9/6/1983","2/7/1983","Summer SEAMAP Groundfish Survey","0",,
"19","1983","LA","25","831","13/6/1983","16/6/1983","Summer SEAMAP Groundfish Survey","0",,
"20","1983","FL","26","831","15/6/1983","5/7/1983","Spring SEAMAP Plankton Survey","0",,
"21","1983","TX","16","831","21/6/1983","22/6/1983","Summer SEAMAP Groundfish Survey","0",,
"22","1983","LA","25","832","21/6/1983","23/6/1983","Summer SEAMAP Groundfish Survey","0",,
"23","1983","FL","09","831","26/6/1983","29/6/1983","Spring SEAMAP Plankton Survey","0",,
"24","1983","TX","16","832","29/6/1983","1/7/1983","Summer SEAMAP Groundfish Survey","0",,
